x,y,z,canc,data,ora
"-0.35243726,3.8748944,6.4913583 - 2021-09-09 19:52:04.423"
"-0.32179052,3.849994,6.6484222 - 2021-09-09 19:52:04.441"
"-0.39074564,3.7446458,6.675238 - 2021-09-09 19:52:04.461"
"-0.32945222,3.8116856,6.5852137 - 2021-09-09 19:52:04.483"
"-0.33328304,3.8385015,6.675238 - 2021-09-09 19:52:04.501"
"-0.26241252,3.8442478,6.966382 - 2021-09-09 19:52:04.522"
"-0.37733772,3.8710637,6.6886463 - 2021-09-09 19:52:04.543"
"-0.3869148,4.0740976,6.535413 - 2021-09-09 19:52:04.561"
"-0.53057134,4.0683517,6.9836206 - 2021-09-09 19:52:04.582"
"-0.42905408,3.945765,6.612029 - 2021-09-09 19:52:04.603"
"-0.2700742,3.8385015,6.485612 - 2021-09-09 19:52:04.621"
"-0.36201435,3.8710637,6.613945 - 2021-09-09 19:52:04.642"
"-0.57845676,3.917034,7.020014 - 2021-09-09 19:52:04.664"
"-0.63208854,3.9476805,6.88785 - 2021-09-09 19:52:04.682"
"-0.61484975,3.892133,7.290088 - 2021-09-09 19:52:04.703"
"-0.64358103,3.7618847,7.062153 - 2021-09-09 19:52:04.724"
"-0.5707951,3.7542229,6.786333 - 2021-09-09 19:52:04.742"
"-0.48460123,3.675691,6.7327013 - 2021-09-09 19:52:04.762"
"-0.53440213,3.595243,6.8169794 - 2021-09-09 19:52:04.783"
"-0.6857203,3.6699445,6.9433966 - 2021-09-09 19:52:04.802"
"-0.69912827,3.675691,6.939566 - 2021-09-09 19:52:04.822"
"-0.6627353,3.6910143,6.5392437 - 2021-09-09 19:52:04.844"
"0.33328304,3.3998704,5.198449 - 2021-09-09 19:52:04.862"
"-0.20878077,2.9957166,6.8916807 - 2021-09-09 19:52:04.885"
"-1.6166143,3.4898949,8.12138 - 2021-09-09 19:52:04.904"
"-1.2105453,3.652706,7.9853854 - 2021-09-09 19:52:04.922"
"-0.7776605,3.6201437,8.113718 - 2021-09-09 19:52:04.946"
"-0.944302,3.6469593,7.9624004 - 2021-09-09 19:52:04.977"
"-0.63975024,3.6603673,7.090884 - 2021-09-09 19:52:04.981"
