xa,ya,za,xg,yg,zg
1.8050698,3.6910772,-1.982166,-0.5496432,-1.1096802,0.7211281
2.3308432,2.0448303,-1.6417184,-0.7562532,-1.1011602,0.71580315
2.5107696,0.53038883,-1.121733,-0.8403882,-1.0255451,0.6849181
2.635953,-0.74938583,-0.40099669,-0.8371932,-0.94780004,0.6156931
2.5072503,-1.8005886,0.2776562,-0.7818132,-0.9137201,0.48895815
1.9528508,-2.4225388,0.6830249,-0.6923532,-0.90733004,0.33559814
1.118309,-2.706872,1.173308,-0.5219532,-0.90946007,0.20140813
0.27975696,-2.8563685,1.6437796,-0.28232816,-0.94354004,0.100233145
-0.24757439,-2.8917737,1.6214147,-0.03950817,-0.95632005,0.036333144
-0.38948217,-2.7512045,1.2508094,0.15538684,-0.9307601,0.0001231404
-0.40111893,-2.287631,0.7332283,0.26508182,-0.8413001,0.005448141
-0.26642498,-1.5890474,0.19871974,0.26721182,-0.7017851,0.055503145
0.054213285,-0.95395565,-0.29923606,0.18094683,-0.5654651,0.14389813
0.5325307,-0.5317707,-0.6883458,0.07444683,-0.46535507,0.25359315
1.0589917,-0.33178234,-1.015954,0.000961829,-0.38228506,0.35157314
1.4151313,-0.33613968,-1.3457168,-0.03524817,-0.30986506,0.41440815
1.6886268,-0.44817543,-1.4061837,-0.03418317,-0.26300508,0.43464315
1.7769375,-0.5261526,-1.2108799,-0.02992317,-0.23957507,0.42292815
1.6580245,-0.53445816,-0.9200933,-0.049093172,-0.21721008,0.38458815
1.3922496,-0.4595623,-0.72043574,-0.10447317,-0.18206508,0.32281816
1.1565571,-0.39575863,-0.51986897,-0.18434817,-0.15650508,0.24081312
0.8957789,-0.295887,-0.27061892,-0.26635316,-0.13520508,0.15880814
0.6625859,-0.2771778,-0.051879644,-0.32386318,-0.109645076,0.092778146
0.50540984,-0.3173294,0.03130448,-0.35155317,-0.08089008,0.04911314
0.4767335,-0.5349226,-0.06790066,-0.37391818,-0.05213508,0.02461814
0.49068052,-0.95795155,-0.3176657,-0.41225818,-0.02657508,-0.003071859
0.42330074,-1.4642582,-0.38676488,-0.46018317,-0.019120079,-0.03395686
0.28499335,-1.8745861,-0.21932256,-0.5081082,-0.027640078,-0.06271186
0.14766371,-2.2870455,-0.06901169,-0.5326032,-0.03403008,-0.08401186
0.008102477,-2.7345643,0.1742307,-0.5240832,-0.036160078,-0.09998686
-0.17484576,-3.0564532,0.61583143,-0.47296318,-0.039355077,-0.10637686
-0.34233367,-3.2355905,1.137994,-0.41012818,-0.05213508,-0.09892186
-0.4382727,-3.1718025,1.5098104,-0.38669816,-0.07130508,-0.077621855
-0.4499745,-2.81114,1.7641792,-0.42290816,-0.10645008,-0.052061856
-0.5425947,-2.3702664,1.8613085,-0.47935316,-0.16928507,-0.019046858
-0.706901,-2.241342,1.8623284,-0.5166282,-0.25235507,0.022488141
-0.87408626,-2.652647,1.6593952,-0.5326032,-0.30986506,0.037398137
-0.93910134,-3.5645056,1.333871,-0.5166282,-0.32903507,0.027813142
-0.9527714,-4.445018,1.1782186,-0.44207817,-0.33223006,0.00757814
-0.6968739,-5.0644016,1.2049174,-0.32492816,-0.32797006,-0.03395686
-0.46391606,-5.315617,1.5301577,-0.20564817,-0.35033506,-0.05845186
-0.12382591,-5.319039,2.1271455,-0.09488817,-0.42169008,-0.06590686
0.29804343,-5.118331,2.6553526,-0.010753171,-0.54310006,-0.08827186
0.69346136,-4.7311063,3.014684,0.062731825,-0.7049801,-0.15536687
0.9838295,-4.065048,3.0780587,0.15964682,-0.8700551,-0.27038684
0.9112772,-3.2116985,2.602212,0.27040684,-0.97975004,-0.40031686
0.4326567,-2.4700117,1.6372178,0.36732182,-0.98507506,-0.5281169
0.12832588,-1.7965412,0.49492753,0.44080684,-0.88496506,-0.62290186
0.24222934,-1.1478434,-0.3946098,0.48234183,-0.75077504,-0.62716186
0.32439193,-0.23203087,-1.2334688,0.5015118,-0.6858101,-0.48764685
0.35602218,1.0317459,-2.131384,0.5387868,-0.74438506,-0.25547686
0.5711214,2.807825,-2.8250864,0.5941668,-0.8540801,-0.052061856
0.5833168,4.542962,-3.7335868,0.6016218,-0.8253251,0.06295814
-0.015526801,5.9615965,-5.3537073,0.5292018,-0.58250505,0.16093813
-1.0341067,7.273657,-6.7528915,0.42163682,-0.26300508,0.24507312
-1.9409821,8.00079,-6.8795686,0.28744683,-0.07024008,0.23655313
-2.4819717,8.24161,-5.4021454,0.09042183,-0.08408508,0.17904313
-2.3155892,8.844289,-3.6803446,-0.21203817,-0.25129005,0.15880814
-2.2071025,9.579253,-2.2746012,-0.5602932,-0.5239301,0.13005313
-2.8756802,9.845841,-1.1191384,-0.8808582,-0.76781505,0.01929314
-3.9200797,9.206165,-0.61523616,-1.1023781,-0.7060451,-0.16601686
-4.5384803,7.7792425,-0.41746926,-1.1343281,-0.38867506,-0.26186684
-3.7763343,5.866701,0.31270492,-1.0225031,-0.15650508,-0.21074687
-1.8987225,3.834978,1.1128811,-0.8521032,-0.07769508,-0.114896856
-0.08934936,1.7446032,1.5278062,-0.6422982,-0.036160078,-0.036086857
1.1741922,-0.2899332,2.0030816,-0.37285316,-0.008470078,0.044853143
1.8238481,-1.8456831,2.2322438,-0.07571817,0.0032449218,0.15454814
2.4390373,-2.8497787,2.0181804,0.17562182,-0.018055078,0.25465816
3.0378823,-3.5693073,1.2688867,0.32578683,-0.05426508,0.26317814
3.178339,-4.0274706,0.2764156,0.38223183,-0.08621508,0.16093813
2.7174752,-4.1686506,-0.5380097,0.38436183,-0.07450008,-0.02330686
1.4736285,-3.9562173,-0.9846994,0.34602183,-0.009535079,-0.20009686
-0.14640018,-3.2146206,-0.59093416,0.26934183,0.0021799218,-0.28955686
-1.306579,-2.3491268,0.05920905,0.15858182,0.006439922,-0.32150686
-2.2313497,-1.553813,0.47179157,0.035041828,0.08311992,-0.33002684
-3.2110298,-1.0030413,0.7033982,-0.069328174,0.22795992,-0.29701185
-3.8682075,-0.94443893,0.7467718,-0.13961817,0.37279993,-0.19157687
-3.967325,-1.3548231,0.6537694,-0.18434817,0.43669993,-0.015851859
-3.2578483,-2.0415616,0.5540385,-0.20138817,0.41752994,0.17371814
-2.1079178,-2.7790484,0.46478844,-0.19393317,0.36747494,0.32388315
-1.405585,-3.1200337,0.61068314,-0.18860817,0.33126494,0.44103315
-0.718845,-3.215992,0.7614529,-0.21203817,0.34191492,0.49854317
0.01522243,-3.2111745,0.780218,-0.28019816,0.41859493,0.48895815
0.39669958,-3.3070564,0.8681458,-0.37604818,0.53148496,0.42292815
0.34106082,-3.4368715,1.2060486,-0.47083318,0.6252049,0.33666316
-0.012172073,-3.4858856,1.6499248,-0.5389932,0.6688699,0.28234816
-0.2872802,-3.6116061,1.9994092,-0.5570982,0.6805849,0.25891814
-0.26739028,-3.703353,2.2457037,-0.5144982,0.69016993,0.24187814
-0.09970206,-3.5290084,2.3639975,-0.42929816,0.7167949,0.21951313
-0.12346396,-3.0150309,2.406663,-0.31640816,0.7572649,0.20779814
-0.36330575,-2.5086884,2.2881517,-0.17795818,0.7945399,0.17265314
-0.902436,-2.3398619,1.6577721,-0.010753171,0.83713996,0.07573814
-1.7243178,-2.2452154,0.6751537,0.18520683,0.89677995,-0.04780186
-2.529676,-1.7945147,-0.35974202,0.41950682,0.95322496,-0.13832687
-2.8465216,-0.7563572,-1.3877385,0.6495468,0.94896495,-0.13832687
-2.0304651,0.68459225,-2.5931659,0.7965168,0.86056995,-0.06484186
-0.29444966,2.0258274,-4.0765696,0.8401818,0.7977349,-0.011591859
1.4698005,3.7784204,-5.205058,0.7368768,0.81264496,0.02887814
2.6990159,5.854125,-5.734179,0.44719684,0.8254249,0.092778146
3.5763342,7.294485,-5.722637,0.07125183,0.76045996,0.14389813
4.104932,7.2371683,-5.409472,-0.24079317,0.66673994,0.15135314
4.2021017,6.0445366,-4.9156346,-0.44314316,0.61987996,0.13324814
4.0984187,4.967742,-3.845923,-0.5560332,0.6007099,0.09490814
3.6504228,4.499568,-2.3675377,-0.6295182,0.5453299,0.045918144
2.5879521,4.392746,-0.6880533,-0.6572082,0.42711493,-0.02756686
1.1354817,4.192773,0.5322337,-0.6593382,0.25671494,-0.10850686
-0.16988873,3.677723,0.71057284,-0.6880932,0.09163992,-0.14258687
-0.8030564,2.9035769,0.35373247,-0.7093932,-0.018055078,-0.12980686
-1.2488923,1.9192047,0.19695532,-0.6380382,-0.06278508,-0.08081686
-1.4881365,0.6612816,0.2607612,-0.45059818,-0.04148508,-0.019046858
-1.2600806,-0.6684418,0.33854336,-0.21416818,0.049039923,0.04059314
-0.82873994,-1.6039448,0.4827895,0.009481829,0.17257991,0.092778146
-0.19633469,-2.0365515,0.18268521,0.17668682,0.30570495,0.11194814
0.6423382,-2.1877756,-0.21286482,0.25975683,0.41859493,0.08425814
1.3522177,-2.2572122,-0.3202138,0.26508182,0.47184494,0.027813142
1.8769903,-2.2861629,-0.02573514,0.21928683,0.48888493,-0.019046858
2.3142562,-2.1912599,0.45905447,0.15751684,0.48568994,-0.03928186
2.7046378,-2.070691,1.1848582,0.11704683,0.44521993,-0.043541856
2.7051272,-1.972127,1.9097818,0.10320183,0.36321494,-0.060581863
2.1987278,-1.936122,2.3978925,0.12982683,0.29185992,-0.08081686
1.3972671,-1.9312983,2.5534804,0.18733683,0.26416993,-0.09253186
0.57043064,-1.7757568,2.3300304,0.23313183,0.26310495,-0.08933686
-0.05877185,-1.4243956,1.85132,0.22993682,0.26310495,-0.06910186
-0.6765491,-1.080904,1.5049409,0.16923183,0.24925992,-0.053126857
-1.33739,-0.9248047,1.2369992,0.063796826,0.22795992,-0.06803686
-1.787075,-1.099472,0.86363304,-0.08317317,0.20665993,-0.11063686
-1.9181916,-1.3201303,0.56248105,-0.23120818,0.15553991,-0.14578186
-1.3474159,-1.476634,0.5222848,-0.34835818,0.04797492,-0.17773187
-0.34654772,-1.7433062,0.61198664,-0.43249318,-0.073435076,-0.21926686
0.48692065,-2.0623078,0.6649834,-0.49106818,-0.17887008,-0.24376187
1.2565796,-2.516811,0.6194187,-0.5176932,-0.24809508,-0.24269687
1.6897726,-3.0726895,0.52389526,-0.49532816,-0.27685007,-0.21713686
1.7679775,-3.442667,0.7464161,-0.37072316,-0.26407006,-0.19157687
1.597117,-3.8158336,1.4349052,-0.15878817,-0.23851007,-0.19690186
1.3171691,-3.9772902,1.9613419,0.025456827,-0.26194006,-0.25015184
0.921646,-3.5862737,1.7309949,0.13302183,-0.28750005,-0.31192186
0.55921674,-2.5964885,1.3877348,0.20118183,-0.34075007,-0.33535185
0.44418117,-1.155036,0.21853584,0.24058683,-0.45790008,-0.28103685
0.15219715,0.77074146,-1.0079342,0.32046184,-0.5920901,-0.15962687
0.2865084,2.412963,-2.456964,0.38755682,-0.6208451,-0.05525686
0.52498007,3.6910276,-4.383052,0.40033683,-0.48452505,0.010773141
0.18973228,5.0141954,-5.35493,0.40246683,-0.29602006,0.07573814
-0.6176888,6.1744432,-5.4024835,0.36625683,-0.14692008,0.09810314
-1.308812,6.082223,-5.066944,0.20437683,-0.16396008,0.012903141
-2.0324347,5.5591326,-4.3876905,-0.06826317,-0.29176006,-0.10637686
-2.2873306,5.446495,-3.147198,-0.38350317,-0.42701507,-0.18518686
-2.2966306,5.1985025,-2.0605576,-0.7328232,-0.5281901,-0.24802187
-2.73393,5.064249,-1.1988004,-1.0235682,-0.54203504,-0.26612684
-3.1734226,5.0398397,-0.34765506,-1.1226132,-0.44192505,-0.22459187
-2.8306775,4.863619,0.421106,-1.0214381,-0.26833007,-0.12554686
-1.8330543,4.605913,0.82531595,-0.8126982,-0.13414007,-0.0073318593
-0.683067,3.908166,0.63988495,-0.6188682,-0.081955075,0.034203142
-0.24283706,2.6799679,0.10644677,-0.49639317,-0.07024008,0.012903141
0.009675711,1.2376089,0.44248188,-0.39308816,-0.07024008,-0.020111859
0.47280067,-0.0816412,1.2972368,-0.25889817,-0.06278508,-0.04673686
0.8992568,-0.9962921,1.6546443,-0.095953174,-0.05533008,-0.077621855
0.9120203,-1.4931965,1.339724,0.05847183,-0.06917508,-0.096791856
0.90998745,-1.6905003,0.7260318,0.17775182,-0.11390508,-0.114896856
0.67077917,-1.6844425,0.20742927,0.26721182,-0.17461008,-0.13193686
0.065838575,-1.6856899,-0.030628756,0.35880184,-0.23105508,-0.14152187
-0.61783004,-1.7467041,0.037757173,0.46423683,-0.28324005,-0.14045687
-1.4265145,-1.8241997,0.119141355,0.5451768,-0.30986506,-0.113831855
-2.0756698,-1.8701572,0.18948182,0.5654118,-0.29282507,-0.07549186
-2.3996031,-1.8319807,0.38343695,0.5153568,-0.23957507,-0.043541856
-2.5633764,-1.6979971,0.60050905,0.44080684,-0.16715507,-0.015851859
-2.5694666,-1.6884165,0.7183777,0.40246683,-0.073435076,0.01716314
-2.1178298,-1.549674,0.92491895,0.41950682,0.03412992,0.05017814
-1.2838055,-1.2867899,1.2116089,0.45358682,0.13210993,0.06828314
-0.38945535,-1.041007,1.3073504,0.45252183,0.20772493,0.064023145
0.4789024,-0.8553791,1.2378637,0.39394683,0.26416993,0.054438144
1.154666,-0.68218994,1.200499,0.27040684,0.30463994,0.072543144
1.5518504,-0.67222214,1.2223198,0.09574683,0.31315994,0.12366315
1.4911273,-0.94001293,1.3265612,-0.07039317,0.29718494,0.17797813
0.8444492,-1.4489985,1.530642,-0.16837317,0.28440493,0.20886314
-0.016305283,-1.9689064,1.7887129,-0.18860817,0.27907994,0.21631813
-0.9305874,-2.3345528,1.8695464,-0.15665817,0.27588493,0.20566814
-1.7864246,-2.632213,1.6666751,-0.122578174,0.27268994,0.16732813
-2.4593244,-2.716392,1.3482752,-0.09275817,0.28759995,0.117273144
-2.6953082,-2.7310724,1.2367721,-0.05015817,0.33871993,0.09490814
-2.4076087,-2.7026305,1.5096707,0.011611829,0.36853993,0.13218313
-1.9094414,-2.6238065,2.031789,0.08616183,0.30144495,0.21418813
-1.5185999,-2.5065012,2.2711759,0.15219183,0.18429492,0.30364814
