xa,ya,za,xg,yg,zg
-0.026548,-0.017843,-0.02306,0.0037399,0.0073535,-0.0027965
-0.042216,-0.011363,-0.03717,0.0043831,0.0083438,-0.0034946
-0.043819,-0.020822,-0.036248,0.0040607,0.0097479,-0.0019904
-0.053355,-0.0067918,-0.023099,0.0014754,0.0093466,-0.0016113
-0.062656,0.033073,-0.021677,-2.3517e-05,0.0093387,-0.0018415
-0.048218,0.046623,-0.01436,0.00027579,0.0083955,-0.00090425
-0.023115,0.052344,-0.016875,-0.0022859,0.0042165,0.0027612
-0.016353,0.022833,-0.020719,-0.0010448,0.0048597,0.0029075
-0.015902,-0.0098287,-0.0049259,0.0013994,0.0089798,0.0043217
0.00013185,-0.015877,0.0062948,0.00303,0.011658,0.006301
0.0075513,-0.0079984,-0.018426,0.0027061,0.0099176,0.0044146
-0.0078036,0.0080946,-0.049779,0.001254,0.011779,0.0032816
0.0051699,0.017798,-0.020269,-0.0030269,0.013662,0.0045952
0.021881,0.0035737,0.029345,-0.0045335,0.010426,0.0032636
0.031345,0.022522,0.061837,-0.0043762,0.0074955,0.0030744
0.04013,0.022143,0.042016,-0.0023212,0.0039568,0.0044949
0.072251,0.0062976,0.01284,0.00021363,0.001724,0.0047342
0.080222,0.010019,0.012769,0.0028586,0.0053224,0.0047067
0.076482,0.0033949,0.027581,0.0013885,0.0081198,0.0046394
0.062889,-0.008564,0.025332,-0.0026447,0.0059626,0.0049339
0.051546,-0.043949,0.019523,-0.0025424,0.0078984,0.0030281
0.045994,-0.054814,0.011413,-0.0004165,0.012307,0.0017163
0.012818,-0.034219,0.02151,0.00024816,0.013513,0.00069222
0.018818,0.0023463,-0.0039485,-0.0011779,0.0104,-0.00039955
-0.0040123,0.0066182,-0.021296,0.0016898,0.010013,-0.0015653
-0.023255,-0.0048264,-0.038533,0.0012845,0.0080613,-0.0016855
-0.023865,-0.0010544,-0.021319,0.00083047,0.0067885,-0.0018633
-0.027944,-0.00010656,0.0070597,0.0027668,0.0067303,-4.1845e-05
-0.019391,-0.010279,0.011611,0.003269,0.0067445,0.00047767
-0.043555,0.011611,-0.039581,0.0023579,0.0067486,0.00043428
-0.02951,0.025548,-0.036309,-0.00069841,0.0067275,0.00043991
-0.018078,0.0223,-0.021858,-0.003111,0.0075865,0.00046108
-0.018492,0.001959,-0.010169,-0.0022818,0.0099404,0.00037078
-0.029209,0.025847,0.017951,-0.0010339,0.0071701,0.0014894
-0.03952,0.017051,0.015852,-0.0020066,0.0045527,0.00053795
-0.0034013,-0.023626,0.011472,-0.0021057,0.0067444,0.0004425
-3.6493e-05,-0.013399,0.018503,-0.0010376,0.0056915,0.0004425
-0.013148,0.0076438,-0.023623,3.0518e-05,0.0078125,0.0004425
