xa,ya,za,xg,yg,zg
0.010427475,-0.0016480461,0.033134222,-0.0123337535,-0.011987544,-0.0016311848
-0.0037517548,-0.0066204816,0.03373587,-0.014464281,-0.008791753,-0.00056592084
-0.008306503,0.0027040094,0.050504804,-0.016594809,-0.008791753,0.0015646057
-0.0010089874,0.0049905553,0.041081786,-0.013399017,-0.009857017,0.0036951327
0.015597343,-0.03256491,0.02485466,-0.014464281,-0.008791753,0.0036951327
0.015427589,-0.029461376,0.0064384937,-0.015529544,-0.0066612256,0.0036951327
-0.001250267,-0.009932041,0.03523314,-0.015529544,-0.0066612256,0.0058256597
-0.0035190582,0.007122904,0.032925487,-0.017660072,-0.009857017,0.0058256597
0.027261734,0.038004287,0.007409334,-0.0197906,-0.016248599,0.0036951327
0.019910812,-0.009591565,0.027694821,-0.0197906,-0.016248599,0.0015646057
0.019750595,0.01406531,0.04528427,-0.017660072,-0.014118071,0.0036951327
-0.013409615,0.0069349334,0.029397726,-0.017660072,-0.007726489,0.0058256597
-0.024886131,-0.0022267029,-0.005690813,-0.017660072,-0.0066612256,0.0036951327
-0.03618145,0.00033640116,-0.045006752,-0.020855863,-0.009857017,0.0036951327
-0.03076458,0.014600165,-0.057448506,-0.021921126,-0.015183334,0.0036951327
-0.044225693,0.0050587878,-0.036189795,-0.021921126,-0.01944439,0.0015646057
-0.00088119507,0.0048914924,0.0016168356,-0.024051653,-0.023705443,0.0015646057
0.022942543,0.0047036633,0.0038717985,-0.025116915,-0.024770707,0.0026298692
0.008676529,0.014033318,0.0602417,-0.024051653,-0.021574916,0.0015646057
0.006406784,0.008981198,0.05189073,-0.024051653,-0.017313862,0.0026298692
0.013550758,0.034738548,0.031487584,-0.02618218,-0.014118071,0.0015646057
-0.021848679,0.041088603,0.01354146,-0.02618218,-0.018379126,0.0026298692
-0.03306675,0.042731725,-0.017898798,-0.027247444,-0.021574916,0.0015646057
0.014827728,0.032454245,-0.046150804,-0.02937797,-0.02264018,0.0015646057
0.040735245,-0.015364606,-0.043209553,-0.028312707,-0.016248599,0.004760396
0.03316307,-0.01731034,-0.038579345,-0.027247444,-0.016248599,0.0036951327
-0.0049037933,-0.009893715,-0.0081140995,-0.027247444,-0.021574916,0.0004993422
-0.037578583,-0.0028977245,0.03873694,-0.025116915,-0.029031761,-0.00056592084
-0.022500038,0.010954417,0.04324341,-0.027247444,-0.029031761,-0.00056592084
0.025304794,0.008062921,0.04060614,-0.02618218,-0.023705443,-0.0016311848
0.055781364,0.002748035,0.02819705,-0.020855863,-0.017313862,-0.0016311848
0.043265343,0.028225936,0.022323608,-0.020855863,-0.014118071,0.0004993422
0.005010605,0.011085607,-0.030873299,-0.020855863,-0.01092228,0.0015646057
-0.009086609,0.0108227655,-0.0057600737,-0.0197906,-0.013052806,0.0026298692
