xa,ya,za,oraa
0.59569323,3.4603806,7.033224,19:32:59.537
0.57846487,3.4163525,7.208378,19:32:59.558
0.59473604,3.3445678,7.2668834,19:32:59.579
0.6157929,3.3101113,7.2007213,19:32:59.598
0.5285745,3.3321252,7.089694,19:32:59.617
0.47401816,3.4249668,7.0313096,19:32:59.639
0.38404804,3.512185,6.935477,19:32:59.660
0.34289148,3.5897126,6.9833336,19:32:59.680
0.3322434,3.5523846,7.0265236,19:32:59.698
0.3629912,3.4670804,7.1413794,19:32:59.718
0.34863427,3.447938,7.1892357,19:32:59.740
0.34480575,3.4834714,7.17105,19:32:59.759
0.38404804,3.5131426,7.1212792,19:32:59.782
0.43286163,3.448895,7.140422,19:32:59.799
0.5075177,3.4307094,7.183493,19:32:59.818
0.5362316,3.3933816,7.1490364,19:32:59.840
0.5333601,3.4153953,7.155736,19:32:59.860
0.53718865,3.4192238,7.1097937,19:32:59.883
0.50943196,3.441238,7.010133,19:32:59.901
0.47688958,3.456552,6.945048,19:32:59.919
0.44817567,3.4728234,6.9364343,19:32:59.939
0.39457646,3.477609,6.9718475,19:32:59.960
0.35533416,3.4844284,6.9957757,19:32:59.984
0.321715,3.5428133,7.0198236,19:33:00.000
0.28725836,3.5648274,7.078209,19:33:00.020
0.321715,3.5734415,7.0868225,19:33:00.042
0.34576288,3.5514274,7.08778,19:33:00.059
0.35437703,3.5294132,7.0638523,19:33:00.081
0.37447673,3.5169709,7.0380087,19:33:00.099
0.42424744,3.4978285,7.044709,19:33:00.120
0.4615755,3.4873,7.0053473,19:33:00.141
0.47688958,3.4689946,7.033224,19:33:00.166
0.5017749,3.4709086,7.0820374,19:33:00.184
0.5276174,3.465166,7.0820374,19:33:00.201
0.54675996,3.456552,7.0198236,19:33:00.220
0.5314459,3.456552,7.0322666,19:33:00.241
0.50560343,3.465166,6.996733,19:33:00.261
0.49603215,3.466123,7.035138,19:33:00.280
0.46923253,3.4680376,7.0523663,19:33:00.301
0.42329037,3.4911282,7.083952,19:33:00.320
0.39074793,3.5102706,7.111708,19:33:00.340
0.37734812,3.5064423,7.1059656,19:33:00.362
0.35150564,3.5380278,7.072466,19:33:00.382
0.3534199,3.5303707,7.0456667,19:33:00.400
0.36777687,3.5207992,7.027481,19:33:00.421
0.3955336,3.5140996,7.0485373,19:33:00.441
0.4213761,3.5160136,7.033224,19:33:00.467
0.44051868,3.5112278,7.0226955,19:33:00.488
0.44721857,3.4863427,7.0772514,19:33:00.501
0.43956152,3.489214,7.061938,19:33:00.521
0.4319045,3.4959137,7.0408807,19:33:00.541
0.435733,3.4796429,7.1040516,19:33:00.561
0.4386044,3.4737806,7.0380087,19:33:00.584
0.41563332,3.4766517,7.059066,19:33:00.602
0.40510488,3.4766517,7.1796646,19:33:00.622
0.4165904,3.477609,7.083952,19:33:00.641
0.4118048,3.4737806,7.0485373,19:33:00.667
0.40414777,3.4689946,7.099265,19:33:00.684
0.406062,3.4728234,7.072466,19:33:00.703
0.40031925,3.4920855,7.025567,19:33:00.722
0.4031906,3.489214,7.044709,19:33:00.743
0.38691944,3.4834714,7.1059656,19:33:00.763
0.41946185,3.477609,7.1011796,19:33:00.783
0.46253264,3.4728234,7.092566,19:33:00.804
0.4462614,3.4785662,7.1633935,19:33:00.824
0.4319045,3.488257,7.1155367,19:33:00.849
0.44913283,3.4603806,7.0456667,19:33:00.864
0.4453043,3.4460235,7.0169525,19:33:00.882
0.4118048,3.471866,7.0063043,19:33:00.903
0.39936212,3.4987855,7.0091763,19:33:00.923
0.41467613,3.4766517,7.038966,19:33:00.945
0.42424744,3.4709086,7.083952,19:33:00.964
0.41946185,3.4469807,7.1126657,19:33:00.985
0.41276193,3.4220955,7.174879,19:33:01.006
0.39457646,3.426881,7.2007213,19:33:01.024
0.38021952,3.4680376,7.083952,19:33:01.044
0.34002012,3.5198421,7.0514092,19:33:01.065
0.31118658,3.5399418,7.0944805,19:33:01.084
0.32362926,3.5389848,7.055238,19:33:01.104
0.33607194,3.5140996,7.0533237,19:33:01.124
0.36969113,3.4978285,7.076295,19:33:01.150
0.42807597,3.4728234,7.035138,19:33:01.166
0.46923253,3.4536805,6.965148,19:33:01.185
0.47306105,3.4316666,6.951748,19:33:01.206
0.46731827,3.4182668,6.9699335,19:33:01.225
0.46253264,3.4278383,7.020781,19:33:01.245
0.44051868,3.4096527,7.099265,19:33:01.268
0.4462614,3.4086957,7.1413794,19:33:01.284
0.3897908,3.3943386,7.1940217,19:33:01.305
